,Perception,Headjack,Will,Movement,Name,Persuasion,Top,Awareness,Glasses,Footwear,Power,Charisma,Wisdom,Intelligence,Dexterity,Constitution,Strength,Votes,Generation,Right Hand Accessory,Left Hand Accessory,Front Neck Tattoo,Side Neck Tattoo,Forearm Tattoo,Bicep Tattoo,Piercings,Neckwear,Wristwear,Facial Expression,Facial Hair,Hair Dye,Hair Color,Hair Style,Background,Bottom
20477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20478,Can hear a bee's wings,Yes,Incredible moral fiber,Two left feet,None,You're a bit of a charmer,Black Leather Moto Jacket with Green Cotton Crew,Accepting the impermanence of things,,Patent Green Leather Combat Cuff Boot,Can put up a fight,7,11,10,3,11,4,1,1,,Katana with White Handle and Silver Blade,,,,,,,,,,Neon Red,Blonde,Pulled Back Short,Light Rain,Red Leather Pants with Buckles
20479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20480,Heightened senses,Yes,Quiet confidence,Getting the hang of it,None,Could probably convince a small child,Black Leather Tank,Learning to regulate emotions,,Black Leather Neo Combat Boot,Can put up a fight,3,9,7,5,10,4,1,1,,Katana with Black Handle and White Blade,,,Triangle,Shaded Stacking Triangles,,,Thick Leather,Scowl,Thin,Natural,Blonde,Braids,Heavy Rain,Black Patent Leather Leggins
20481,Can hear a bee's wings,Yes,Reluctant volunteer,Two left feet,None,Glossophobia,Black Cotton Longsleeve Crew,Self-induced illusions fade,Black and Gold Wayfarer with Black Lens,Patent Black Leather Combat Cuff Boot,Can take a punch,4,8,10,3,5,3,1,1,,,,,,,,,Thick Leather,Smirk,,Natural,Black,Short Afro Fade,Light Rain,Black Cotton Martial Arts Pants
20482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20487,Can hear a bee's wings,Yes,Quiet confidence,Two left feet,None,History books will be written about you,Black Wool Mandarin Trench Coat,Laughing at your mistakes,,Green Leather Neo Combat Boot,Can take a punch,16,10,10,3,10,3,1,1,,Phone,,,,,,,,,Beard,Natural,Light Grey,Asymmetrical Bob,Medium Rain,Green Cotton Leggings
20488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20489,Can see around corners,Yes,Surprising resilience,Two left feet,None,Maintains status quo,Black Leather Mandarin Tunic,Laughing at your mistakes,Black and Gold Wayfarer with Black Lens,Black Leather Combat Cuff Boot,Scrappy,5,10,11,3,8,5,1,1,Black Long Sai,Katana with Black Handle and Silver Blade,,,,,Black Earrings,,,Scowl,,White,Dark Brown,Long Afro,Heavy Rain,Black Cotton Wool Slacks with Buckles
20490,Can see around corners,Yes,Unshakable resolve,Sleep paralysis,None,Even you don't believe you,Red Leather Longsleeve Crew,Laughing at your mistakes,,Patent Black Leather Combat Cuff Boot,Can take a punch,1,10,11,2,12,3,1,1,,Phone,,,,,,,,Scowl,,Neon Red,Black,Medium Curly Bob,Medium Rain,Black Cotton Leggings
20491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20492,Can hear a heartbeat a mile away,Yes,Quiet confidence,Two left feet,None,Could probably convince a small child,Black Patent Leather Trench Coat with Green Leather Tank,Learning to regulate emotions,,Patent Black Leather Combat Cuff Boot,Your grandma beats you at arm-wrestling,3,9,12,3,10,2,1,1,Katana with White Handle and Silver Blade,Black Arm Pole,,Interlocking Circles,,,,,,Meditative,,Natural,Black,Messy Updo Bun,Medium Rain,Red Patent Leather Leggins
20493,Can hear a bee's wings,Yes,Surprising resilience,Two left feet,None,Could probably convince a small child,Black Cotton Crewneck Tunic,Laughing at your mistakes,,Black Knee High Leather Boots,I wouldn't mess with you,3,10,10,3,8,6,1,1,Katana with Black Handle and Silver Blade,Black Gun,,,,,,Leather Choker,,Smirk,,Neon Red,Blonde,Short Coil,Light Rain,Black Cotton Leggings
20494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20507,Can see around corners,Yes,Stiff upper lip,Two left feet,None,People smile back at you,Red Leather Longsleeve Crew,Learning to regulate emotions,Black Wayfarer with Black Lens,Black Leather Combat Cuff Boot,Can put up a fight,6,9,11,3,7,4,1,1,Katana with Black Handle and Silver Blade,,,,,,,,,Scowl,,Natural,Blonde,Short Messy,Light Rain,Green Cotton Martial Arts Pants
20508,Can hear a heartbeat a mile away,Yes,Surprising resilience,Can walk and chew gum AT THE SAME TIME (good job!),None,Could probably convince a small child,Green Leather Tunic with Buttons,The veil begins to lift,Black Neo with Black Lens,White Knee High Leather Boots,Can take a punch,3,6,12,4,8,3,1,1,,Silver Shotgun,,,,,Black Earrings,,,Scowl,,Natural,Light Brown,Low Ponytail,Light Rain,Green Cotton Wool Slacks with Buckles
20509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20511,Can see around corners,Yes,Steps forward as others flee,Can walk and chew gum AT THE SAME TIME (good job!),None,Could win a presidency without a political background,Green Cotton Tank,Reality is seen as it is,,Black Leather Combat Cuff Boot,Scrappy,15,15,11,4,13,5,1,1,Silver Gun,Dark Wood Staff,,Intersecting Triangles,Shaded Circle,Moon Patterns,Black Earrings,,,Meditative,,Natural,Black,,Medium Rain,Black Cotton Martial Arts Pants
20512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20515,Can see around corners,Yes,Incredible moral fiber,Two left feet,None,Could win a presidency without a political background,Black Cotton Longsleeve Crew,Self-induced illusions fade,Black Neo with Black Lens,Patent Black Leather Combat Cuff Boot,Can take a punch,15,8,11,3,11,3,1,1,,,,Sierpiński Triangle,,,,,,Scowl,,Natural,Dark Brown,Short Coil,Light Rain,Red Cotton Wool Slacks with Buckles
20516,Can see around corners,Yes,Quiet confidence,Two left feet,None,People follow you blindly,Red Cotton Tunic with Buttons,Accepting the impermanence of things,Black Wayfarer with Black Lens,Black Snakeskin Combat Cuff Boot,Can take a punch,11,11,11,3,10,3,1,1,,Black Submachine Gun,,Intersecting Squares,,,,,,Smirk,,Natural,Light Grey,Buzz Cut,Heavy Rain,Black Cotton Wool Slacks with Buckles
20517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20523,Can see around corners,Yes,Surprising resilience,Two left feet,None,Natural born leader,Green Cotton Crewneck Tunic,Appreciation for the complexity of human behavior,Round Black with Black Lens,Red Knee High Leather Boots,Can punch holes in concrete walls,10,12,11,3,8,10,1,1,,,,,,,,,,Smirk,,Light Purple,Blonde,Bob with Fringes,Light Rain,Black Leather Pants with Buckles
20524,Can hear a bee's wings,Yes,Incredible moral fiber,Getting the hang of it,None,Everything is always an option,Red Cotton Tank,Laughing at your mistakes,,Green Knee High Leather Boots,Scrappy,12,10,10,5,11,5,1,1,Katana with Black Handle and Silver Blade,Black Submachine Gun,,,Equality Sign,Triforce,Black Earrings,,Thick Leather,Meditative,,Natural,Light Brown,Short Curly Fade,Light Rain,Black Patent Leather Leggins
20525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20528,Can hear a bee's wings,Yes,Unshakable resolve,Two left feet,None,People smile back at you,Black Cotton Longsleeve Crew,Laughing at your mistakes,3D Glasses,Black Leather Combat Cuff Boot,Can take a punch,6,10,10,3,12,3,1,1,,Katana with White Handle and White Blade,,,,,,,Thick Leather,,,Natural,Dark Brown,Asymmetrical Bob,Medium Rain,Black Patent Leather Pants with Buckles
20529,Can see around corners,Yes,Surprising resilience,Two left feet,None,People smile back at you,Red Cotton Longsleeve with Zipper,Self-induced illusions fade,Translucent Hex with Red Polarized Lens,Black Leather Neo Combat Boot,Can take a punch,6,8,11,3,8,3,1,1,,Phone,,Triforce,,,Black Earrings,,,Smirk,,Light Purple,Light Grey,Mohawk,Medium Rain,Black Patent Leather Leggins
20530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20534,Can see around corners,Yes,Quiet confidence,Can walk and chew gum AT THE SAME TIME (good job!),None,Your significant other's mom loves you,Black Wool Mandarin Trench Coat,Laughing at your mistakes,Black Wayfarer with Black Lens,Black Leather Combat Cuff Boot,Can take a punch,8,10,11,4,10,3,1,1,,Katana with Black Handle and Silver Blade,,,,,,,,,,Natural,Black,Short Sideswept Fringe,Medium Rain,Black Cotton Wool Slacks with Buckles
20535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20536,Can hear a heartbeat a mile away,Yes,Incredible moral fiber,Getting the hang of it,None,Could sell ice to an eskimo,Black Patent Lather Trench Coat with Purple Cotton Oxford and Green Tie,Learning to regulate emotions,Black Morpheus with Dark Mirrored Lens,Black Leather Combat Cuff Boot,Scrappy,9,9,12,5,11,5,1,1,,Black Arm Pole,,,,,,,,Smirk,,Green,Blonde,Low Ponytail,Light Rain,Black Snakeskin Pants with Buckles
20537,You've got a bad feeling about this,Yes,Quiet confidence,Running circles around enemies,None,Glossophobia,Black Leather Tank,You have a childlike sense of wonder,,Black Leather Neo Combat Boot,Can take a punch,4,7,9,7,10,3,1,1,Black Gun,Silver Short Sai,,,Shaded Circle,Equality Sign,Black Erl,,Studded Leather,,Goatee,Natural,Black,Medium Curly Bob,Light Rain,Black Cotton Wool Slacks with Buckles
20538,Heightened senses,Yes,Quiet confidence,Gravity is losing its grip,None,Glossophobia,Black Leather Moto Jacket with Red Cotton Crew,Laughing at your mistakes,Black Morpheus with Dark Mirrored Lens,Green Black Patent Leather Neo Combat Boot,Scrappy,4,10,7,16,10,5,1,1,Katana with Black Handle and Silver Blade,,,,,,,,,Scowl,Thin,Natural,Auburn,Medium Curly Bob,Light Rain,Black Cotton Leggings
20539,Can see around corners,Yes,Quiet confidence,Sleep paralysis,None,Your significant other's mom loves you,Black Leather Trench Coat with White Cotton Oxford and Black Tie,Laughing at your mistakes,,Black Snakeskin Neo Combat Boot,Scrappy,8,10,11,2,10,5,1,1,,Black Arm Pole,,,,,,,,,,Natural,Blonde,,Light Rain,Black Leather Pants with Buckles
20540,You've got a bad feeling about this,Yes,Quiet confidence,Two left feet,None,You're a bit of a charmer,Black Leather Moto Jacket with Charcoal Cotton Crew,Self-induced illusions fade,Black and Gold Wayfarer with Black Lens,Green Knee High Leather Boots,Scrappy,7,8,9,3,10,5,1,1,Phone,,,,,,,,,,,Natural,Black,Short Updo,Medium Rain,Black Patent Leather Pants with Buckles
20541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20543,Can hear a bee's wings,Yes,Incredible moral fiber,Two left feet,None,Glossophobia,Green Cotton Tank,Self-induced illusions fade,,Black Leather Combat Cuff Boot,I wouldn't mess with you,4,8,10,3,11,6,1,1,,Phone,Shaded Circle,,Shaded Triangle,Intersecting Triangles,Black Earrings,,,Meditative,,Natural,Black,Short Sideswept Fringe,Light Rain,Black Cotton Wool Slacks with Buckles
20544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20546,Can see around corners,Yes,Quiet confidence,Two left feet,None,Others are helpless to deny you,Green Leather Tunic with Buttons,Appreciation for the complexity of human behavior,,Patent Black Leather Combat Cuff Boot,Can put up a fight,13,12,11,3,10,4,1,1,,Black Submachine Gun,,,,,,,,,,Natural,Light Brown,Asymmetrical Bob,Light Rain,Black Cotton Leggings
20547,Can hear a heartbeat a mile away,Yes,Unshakable resolve,Pretty light on your feet,None,People smile back at you,Black Leather Trench Coat with Black Cotton Oxford and Green Tie,Appreciation for the complexity of human behavior,White Futurist with Mirror Lens,Green Leather Combat Cuff Boot,Your grandma beats you at arm-wrestling,6,12,12,6,12,2,1,1,Katana with Black Handle and Silver Blade,Gold Staff,,,,,,,,Smirk,,Natural,Light Grey,Buzz Cut,Medium Rain,Black Patent Leather Pants with Buckles
20548,Can see around corners,Yes,Quiet confidence,Pretty light on your feet,None,Your significant other's mom loves you,Black Cotton Longsleeve Crew,Laughing at your mistakes,,Patent Black Leather Combat Cuff Boot,Can take a punch,8,10,11,6,10,3,1,1,,,,,,,Black Erl,Leather Choker,,Meditative,,Natural,Black,Buzz Cut,Light Rain,Green Cotton Martial Arts Pants
20549,Excellent at reading people,Yes,Incredible moral fiber,Two left feet,None,Your significant other's mom loves you,Black Leather Moto Jacket with Charcoal Patent Leather Crew,Laughing at your mistakes,Round Black with Black Lens,Black Leather Combat Cuff Boot,Paper hands,8,10,8,3,11,1,1,1,,Phone,,,,,,,,,,Natural,Black,Short Pixie,Light Rain,Green Leather Pants with Buckles
20550,Can hear a heartbeat a mile away,Yes,Can eat just one potato chip,Can walk and chew gum AT THE SAME TIME (good job!),None,You're a bit of a charmer,Black Patent Leather Moto Jacket with Black Patent Leather Crew,Laughing at your mistakes,,Green Patent Leather Knee High Boots,Can take a punch,7,10,12,4,15,3,1,1,,Phone,,,,,,,,Meditative,,Natural,Light Brown,Faux Hawk,Medium Rain,Red Patent Leather Pants with Buckles
20551,Your third eye is open,Yes,True grit,Running circles around enemies,None,Robert Downey Jr.,Green Leather Mandarin Tunic,Accepting the impermanence of things,Black Wayfarer with Black Lens,Red Snakeskin Knee High Boots,Paper hands,17,11,15,7,9,1,1,1,,Phone,,,,,Black Earrings,Leather Choker,,,Thin,White,Black,Short Curly Fade,Medium Rain,Black Cotton Wool Slacks with Buckles
20552,Excellent at reading people,Yes,Quiet confidence,Two left feet,None,You inspire the people of Zion,Black Wool Mandarin Trench Coat,Accepting the impermanence of things,,Black Patent Leather Knee High Boots,Can take a punch,18,11,8,3,10,3,1,1,Silver Staff,Phone,,,,,,,,,Thin,Natural,Light Brown,Buzz Cut,Light Rain,White Cotton Wool Slacks with Buckles
20553,Heightened senses,Yes,Quiet confidence,Two left feet,None,Maintains status quo,Red Leather Mandarin Trench Coat,Learning to regulate emotions,Round Black with Black Lens,Red Leather Combat Cuff Boot,Can put up a fight,5,9,7,3,10,4,1,1,Dark Wood Staff,Katana with Black Handle and Silver Blade,,,,,"Black Nose, Lip",,,Scowl,,Natural,Black,Bob with Fringes,Light Rain,Red Leather Pants with Buckles
20554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20559,Can see around corners,Yes,Surprising resilience,Pretty light on your feet,None,People smile back at you,Green Cotton Longsleeve Crew,Accepting the impermanence of things,Black Neo with Black Lens,Black Patent Leather Neo Combat Boot,Your grandma beats you at arm-wrestling,6,11,11,6,8,2,1,1,,,,,,,,,,Scowl,,Natural,Light Brown,Low Ponytail,Light Rain,Black Leather Leggings
20560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20571,Can hear a bee's wings,Yes,Incredible moral fiber,Two left feet,None,You're a bit of a charmer,Black Leather Longsleeve Crew,Accepting the impermanence of things,,Black Knee High Leather Boots,Scrappy,7,11,10,3,11,5,1,1,,,,,,,,,,,,Natural,Dark Brown,Long Messy,Light Rain,Green Cotton Wool Slacks with Buckles
20572,Heightened senses,Yes,Quiet confidence,Can walk and chew gum AT THE SAME TIME (good job!),None,Natural born leader,Black Cotton Tank,You know the sound of one hand clapping,Black and Gold Wayfarer with Black Lens,Patent Black Leather Combat Cuff Boot,Can take a punch,10,13,7,4,10,3,1,1,,,Shaded Triangle,Intersecting Squares,Triangle,Stacking Triangles,Black Earrings,,,Smirk,,Natural,Dark Brown,Short Updo,Heavy Rain,Black Cotton Martial Arts Pants
20573,Can see over the horizon,Yes,Quiet confidence,A gelatinous blob,None,People smile back at you,Black Cotton Tunic with Buttons,Appreciation for the complexity of human behavior,White Futurist with Mirror Lens,Black Leather Combat Cuff Boot,Can put up a fight,6,12,13,1,10,4,1,1,,,,,,,,,,,,Natural,Dark Brown,Long Straight Bangs,Light Rain,Black Cotton Leggings
20574,Can see around corners,Yes,Incredible moral fiber,Can walk and chew gum AT THE SAME TIME (good job!),None,Maintains status quo,Green Leather Longsleeve with Zipper,Laughing at your mistakes,Black Neo with Mirror Lens,White Leather Combat Cuff Boot,Your grandma beats you at arm-wrestling,5,10,11,4,11,2,1,1,,,,,,,,,Studded Leather,,,Natural,Dark Brown,Short Sideswept Fringe,Medium Rain,White Cotton Martial Arts Pants
20575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20578,Can see around corners,Yes,Incredible moral fiber,Sleep paralysis,None,Your significant other's mom loves you,Black Cotton Longsleeve Crew,Laughing at your mistakes,Round Silver with Mirror Lens,Green Leather Neo Combat Boot,Scrappy,8,10,11,2,11,5,1,1,,Phone,,,,,,,,,,Natural,Black,Short Messy,Light Rain,Black Cotton Leggings
20579,You've got a bad feeling about this,Yes,Quiet confidence,Getting the hang of it,None,Maintains status quo,Green Cotton Longsleeve Crew,Laughing at your mistakes,,Black Leather Combat Cuff Boot,Your grandma beats you at arm-wrestling,5,10,9,5,10,2,1,1,,Black Submachine Gun,,Shaded Triangle,,,,,Studded Leather,Scowl,,Natural,Light Brown,Long Messy,Light Rain,Black Cotton Martial Arts Pants
20580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20581,Time slows for you,Yes,Unshakable resolve,Always picked first,None,You're a bit of a charmer,Black Leather Trench Coat with Black Cotton Tank,Accepting the impermanence of things,Black and Gold Wayfarer with Black Lens,White Patent Leather Knee High Boots,I wouldn't mess with you,7,11,16,8,12,6,1,1,,,,,,,,,,,,Pink,Light Brown,Bob with Fringes,Medium Rain,Black Cotton Wool Slacks with Buckles
20582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20583,Can hear a bee's wings,Yes,True grit,Two left feet,None,Maintains status quo,Black Leather Mandarin Trench Coat,Laughing at your mistakes,Black Neo with Mirror Lens,Green Leather Neo Combat Boot,Your grandma beats you at arm-wrestling,5,10,10,3,9,2,1,1,,,,,,,,,,,,Natural,Light Brown,,Light Rain,Black Cotton Wool Slacks with Buckles
20584,Excellent at reading people,Yes,Incredible moral fiber,Sleep paralysis,None,Maintains status quo,Black Leather Moto Jacket with Charcoal Leather Crew,You know the sound of one hand clapping,,Black Leather Combat Cuff Boot,Can take a punch,5,13,8,2,11,3,1,1,Katana with White Handle and Silver Blade,Dark Wood Staff,,,,,Black Earrings,,,Smirk,,Natural,Blonde,Faux Hawk,Heavy Rain,Green Cotton Leggings
20585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20592,Can see around corners,Yes,Leads when no one else will,Getting the hang of it,None,You're a bit of a charmer,Red Cotton Martial Arts Top,You know the sound of one hand clapping,Round Black with Black Lens,,Scrappy,7,13,11,5,16,5,1,1,,Black Submachine Gun,,,,,Black Eyebrow Ring,,,Scowl,,Light Purple,Blonde,Short Curly Fade,Medium Rain,Black Cotton Martial Arts Pants
20593,Can hear a heartbeat a mile away,Yes,Quiet confidence,Two left feet,None,Maintains status quo,White Cotton Longsleeve Crew,The veil begins to lift,Black Neo with Black Lens,Black Patent Leather Knee High Boots,I wouldn't mess with you,5,6,12,3,10,6,1,1,Silver Staff,Katana with Black Handle and Silver Blade,,,,,Black Earrings,,Studded Leather,,,White,Light Brown,Short Messy,Light Rain,Black Patent Leather Leggins
20594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20595,You've got a bad feeling about this,Yes,Incredible moral fiber,Always picked first,None,Could probably convince a small child,White Cotton Mandarin Tunic,Appreciation for the complexity of human behavior,Black Wayfarer with Black Lens,Red Leather Neo Combat Boot,I wouldn't mess with you,3,12,9,8,11,6,1,1,Dark Wood Staff,Phone,,,,,Black Earrings,Leather Choker,,,,Natural,Black,Buzz Cut,Medium Rain,Black Cotton Leggings
20596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20597,Can hear a bee's wings,Yes,Surprising resilience,Getting the hang of it,None,Natural born leader,Green Leather Tank,Laughing at your mistakes,,Black Leather Combat Cuff Boot,Your grandma beats you at arm-wrestling,10,10,10,5,8,2,1,1,,Black Arm Pole,,,,,,,,Smirk,,White,Dark Brown,Medium Curly Bob,Heavy Rain,Red Cotton Leggings
20598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20599,Can see around corners,Yes,Reluctant volunteer,Can walk and chew gum AT THE SAME TIME (good job!),None,People smile back at you,Black Leather Moto Jacket with Green Cotton Crew,Appreciation for the complexity of human behavior,Black Wayfarer with Black Lens,Black Knee High Leather Boots,Scrappy,6,12,11,4,5,5,1,1,,Katana with Black Handle and Silver Blade,,,,,,,,,,Natural,Light Brown,Pulled Back Short,Light Rain,Black Cotton Wool Slacks with Buckles
20600,Can see over the horizon,Yes,Unshakable resolve,A gelatinous blob,None,People smile back at you,Green Patent Lather Trench Coat with Black Cotton Oxford and Red Tie,The veil begins to lift,White Futurist with Mirror Lens,Black Leather Neo Combat Boot,Your grandma beats you at arm-wrestling,6,6,13,1,12,2,1,1,,Black Gun,,,,,,,,,,Natural,Light Brown,Asymmetrical Bob,Heavy Rain,Black Cotton Leggings
20601,Can see over the horizon,Yes,Stiff upper lip,Two left feet,None,People smile back at you,Black Patent Leather Crewneck Tunic,Laughing at your mistakes,Round Black with Black Lens,Red Leather Neo Combat Boot,Can take a punch,6,10,13,3,7,3,1,1,,Katana with Black Handle and Silver Blade,,,,,Black Earrings,,,,,Natural,Light Grey,Messy Updo Bun,Light Rain,Black Cotton Wool Slacks with Buckles
20602,Can hear a bee's wings,Yes,Unshakable resolve,Two left feet,None,Could probably convince a small child,Black Cotton Mandarin Tunic,Laughing at your mistakes,,Black Patent Leather Neo Combat Boot,Can put up a fight,3,10,10,3,12,4,1,1,Phone,,,,,,,,,,,Neon Red,Dark Brown,Short Messy,Medium Rain,Black Leather Pants with Buckles
20603,Can hear a heartbeat a mile away,Yes,Begrudging participant,Two left feet,None,Maintains status quo,Black Cotton Tank,Accepting the impermanence of things,Black Wayfarer with Black Lens,Green Leather Neo Combat Boot,Can take a punch,5,11,12,3,6,3,1,1,,Phone,Triangle,,Triangle,Shaded Circle,,,Thick Leather,Smirk,Thin,Pink,Auburn,Bob with Fringes,Heavy Rain,Green Cotton Leggings
20604,Excellent at reading people,Yes,Unshakable resolve,Can walk and chew gum AT THE SAME TIME (good job!),None,You're a bit of a charmer,Black Leather Trench Coat with Red Patent Leather Tank,Accepting the impermanence of things,Black Wayfarer with Black Lens,Patent Green Leather Combat Cuff Boot,Can put up a fight,7,11,8,4,12,4,1,1,,,,,,,,,,,,Pink,Light Brown,Low Ponytail,Medium Rain,Black Snakeskin Pants with Buckles
20605,Can see over the horizon,Yes,Quiet confidence,Can walk and chew gum AT THE SAME TIME (good job!),None,Your significant other's mom loves you,Red Leather Tunic with Buttons,Accepting the impermanence of things,Round Black with Black Lens,Black Leather Combat Cuff Boot,I wouldn't mess with you,8,11,13,4,10,6,1,1,Katana with White Handle and Silver Blade,Black Arm Pole,,,,,Black Earrings,,,Smirk,Goatee,Natural,Dark Brown,,Light Rain,Red Cotton Leggings
20606,Can see around corners,Yes,Stiff upper lip,Two left feet,None,Your significant other's mom loves you,Green Leather Tunic with Buttons,Laughing at your mistakes,Black Hex with Purple Polarized Lens,Green Knee High Leather Boots,Can put up a fight,8,10,11,3,7,4,1,1,,Black Arm Pole,,,,,,,,Scowl,Beard,Natural,Black,Buzz Cut,Medium Rain,Green Leather Pants with Buckles
20607,Can see over the horizon,Yes,Incredible moral fiber,Sleep paralysis,None,Glossophobia,Red Cotton Longsleeve Crew,You have a childlike sense of wonder,3D Glasses,Black Knee High Leather Boots,I wouldn't mess with you,4,7,13,2,11,6,1,1,,Black Submachine Gun,,,,,,,Studded Leather,,,Natural,Light Brown,Faux Hawk,Medium Rain,Black Patent Leather Pants with Buckles
20608,You've got a bad feeling about this,Yes,Quiet confidence,Two left feet,None,Could sell ice to an eskimo,Black Cotton Mandarin Tunic,Laughing at your mistakes,Black Neo with Mirror Lens,Red Patent Leather Neo Combat Boot,Can put up a fight,9,10,9,3,10,4,1,1,Silver Submachine Gun,Black Submachine Gun,,,,,,,,,,Natural,Auburn,,Heavy Rain,Black Patent Leather Leggins
