,Background,Hair Style,Hair Color,Facial Hair,Top,Bottom,Footwear,Ring,Headwear,Glasses,Piercings,Accessories
15997,White,Long Messy,Auburn,None,Gray Blazer with Black Shirt and Gray Tie,Khaki,White Leather Sneaker with Grey Sole,None,None,None,None,Black Leather Briefcase
15998,White,Updo Bun,Black,None,Navy Blazer with Striped Shirt and No Tie,Dark-Wash Denim,White Canvas Sneaker with White Sole,None,None,Silver Aviators,None,None
15999,White,Medium Curly Bob,Light Brown,None,Dark Gray Longsleeve,Charcoal Slacks,White Canvas Sneaker with White Sole,None,None,Black Books,None,Black Leather Briefcase
16000,White,Short Coil,Blonde,None,Light Gray Cardigan with Beige Oxford Shirt,Khaki Slacks,White Canvas Sneaker with White Sole,None,None,Black Books,None,Lunchbox
16001,White,Straight Sideswept Fringe,Light Brown,Stubble,Gray Blazer with Black Shirt and Gray Tie,Navy Slacks,Redbrown Leather Workboot with Brown Sole,Two Rings,None,Black Books,None,None
16002,White,Medium Curly Bob,Black,Thin,Charcoal Blazer with Light Blue Shirt and Black Tie,Light-Wash Denim,Black Leather Shoes with Laces,None,None,None,None,None
16003,White,Updo Bun,Black,None,Olive Oxford with Buttons,Navy Slacks,Black Leather Shoes with Laces,None,None,None,None,Black Smartphone
16004,White,Short Afro Fade,Auburn,None,Brown Cardigan with Tan Longsleeve Shirt,Gray Slacks,Black Suede Chelseas with Brown Sole,None,None,None,None,None
16005,White,Short Pixie,Dark Brown,None,Olve Cardigan with Tan Longsleeve Shirt,Dark-Wash Denim,White Leather Sneaker with Grey Sole,None,None,None,None,Blue Lunchbox
16006,White,Short Coil,Auburn,None,Charcoal Blazer with Light Blue Shirt and Black Tie,Khaki,Brown Leather Shoes with Laces,Two Rings,None,None,Stud Earring,None
16007,White,Updo Bun,Black,None,Red Longsleeve,Dark-Wash Denim,Black Suede Chelseas with Brown Sole,Two Rings,None,None,None,Black Smartphone
16008,White,Straight Sideswept Fringe,Blonde,None,Navy Oxford with Pocket,Dark-Wash Denim,Redbrown Leather Workboot with Brown Sole,None,None,Black Books,None,None
16009,White,Long Straight Bangs,Light Grey,Thin,Navy Oxford with Pocket,Charcoal Slacks,White Leather Sneaker with Grey Sole,None,None,Silver Aviators,None,Brown Leather Briefcase
16010,White,Straight Sideswept Fringe,Black,None,Navy Oxford with Tie,Charcoal Slacks,Brown Leather Shoes with Laces,None,None,Silver Aviators,None,Black Leather Briefcase
16011,White,Updo Bun,Blonde,None,Gray Oxford with Tie and Pocket,Gray Slacks,White Canvas Sneaker with White Sole,None,None,Black Books,None,None
16012,White,Straight Sideswept Fringe,Black,Thin,Khaki Oxford with Buttons,Blue Denim,White Canvas Sneaker with White Sole,None,None,None,None,Black Smartphone
16013,White,Short Pixie,Dark Brown,None,Charcoal Blazer with Light Blue Shirt and Black Tie,Charcoal Slacks,White Canvas Sneaker with White Sole,None,None,Rosegold Aviators,None,Black Leather Briefcase
16014,White,Long Straight Bangs,Black,None,Dark Gray Cardigan with Tan Oxford Shirt,Gray Slacks,Brown Leather Shoes with Laces,None,None,Black Books,None,None
16015,White,Medium Curly Bob,Dark Brown,None,Olive Oxford with Pocket,Blue Denim,Black Suede Chelseas with Brown Sole,Two Rings,None,None,None,Lunchbox
16016,White,Short Messy,Blonde,Stubble,Dark Gray Cardigan with Light Gray Longsleeve Shirt,Charcoal Slacks,Brown Leather Shoes with Laces,None,None,Rosegold Aviators,None,Black Smartphone
16017,White,Medium Curly Bob,Light Grey,None,Brown Cardigan with Tan Oxford Shirt,Navy Slacks,Black Suede Chelseas with Brown Sole,None,None,None,None,Black Smartphone
16018,White,Long Afro,Dark Brown,Goatee,Light Gray Longsleeve,Charcoal Slacks,Black Leather Shoes with Laces,Two Rings,None,None,None,Blue Lunchbox
16019,White,Short Updo,Light Brown,None,Light Gray Longsleeve,Gray Slacks,Brown Leather Shoes with Laces,None,None,Silver Aviators,None,Brown Leather Briefcase
16020,White,Low Ponytail,Blonde,None,Light Gray Longsleeve,Charcoal Slacks,Brown Leather Shoes with Laces,None,None,None,None,None
16021,White,Short Afro Fade,Black,None,Dark Gray Longsleeve,Charcoal Slacks,Black Leather Shoes with Laces,None,None,None,None,Black Leather Briefcase
16022,White,Low Ponytail,Light Brown,None,Charcoal Blazer with Light Blue Shirt and No Tie,Navy Slacks,White Leather Sneaker with Grey Sole,None,None,Rosegold Aviators,None,Black Leather Briefcase
16023,White,Short Updo,Blonde,None,Denim Jumpsuit,None,Redbrown Leather Workboot with Brown Sole,None,None,None,None,Lunchbox
16024,White,Short Messy,Light Brown,Goatee,Brown Cardigan with Off-White Longsleeve Shirt,Blue Denim,White Canvas Sneaker with White Sole,Two Rings,None,Silver Aviators,None,Black Leather Briefcase
16025,White,Long Messy,Light Grey,None,Khaki Oxford with Tie and Pocket,Dark-Wash Denim,White Leather Sneaker with Grey Sole,None,None,Black Books,None,Black Leather Briefcase
16026,White,Updo Bun,Dark Brown,None,Charcoal Blazer with Light Blue Shirt and No Tie,Charcoal Slacks,Brown Leather Shoes with Laces,None,None,None,None,Black Smartphone
16027,White,Short Coil,Light Brown,Goatee,Charcoal Blazer with Light Blue Shirt and Black Tie,Dark-Wash Denim,White Canvas Sneaker with White Sole,None,None,None,None,Black Smartphone
16028,White,Short Afro Fade,Blonde,None,Gray Blazer with Black Shirt and No Tie,Charcoal Slacks,White Canvas Sneaker with White Sole,None,None,Black Books,None,None
16029,White,Short Afro Fade,Light Brown,Thin,Gray Oxford with Buttons,Charcoal Slacks,Redbrown Leather Workboot with Brown Sole,None,None,Black Books,None,Black Smartphone
16030,White,Short Pixie,Dark Brown,None,Dark Gray Longsleeve,Blue Denim,Tan Suede Workboot with Tan Sole,None,None,None,None,Black Leather Briefcase
16031,White,Short Pixie,Blonde,None,Navy Oxford with Tie and Pocket,Gray Slacks,Black Leather Shoes with Laces,Two Rings,None,None,None,None
16032,White,Short Messy,Dark Brown,None,Gray Oxford with Pocket,Charcoal Slacks,Brown Leather Shoes with Laces,None,None,Black Books,None,None
16033,White,Straight Sideswept Fringe,Black,None,Navy Oxford with Tie,Dark-Wash Denim,White Canvas Sneaker with White Sole,None,None,Black Books,Stud Earring,Lunchbox
16034,White,Short Updo,Dark Brown,None,Red Longsleeve,Blue Denim,White Leather Sneaker with Grey Sole,None,None,Silver Aviators,None,Black Smartphone
16035,White,Short Coil,Black,Mustache,Olive Oxford with Buttons,Gray Slacks,Tan Suede Workboot with Tan Sole,None,None,None,None,Brown Leather Briefcase
16036,White,Short Coil,Black,None,Red Longsleeve,Charcoal Slacks,Black Suede Chelseas with Brown Sole,None,None,None,None,None
16037,White,Long Messy,Dark Brown,None,Gray Oxford with Tie and Pocket,Khaki Slacks,Black Leather Shoes with Laces,None,None,None,None,None
16038,White,Low Ponytail,Black,None,Navy Oxford with Pocket,Gray Slacks,White Leather Sneaker with Grey Sole,None,None,Black Books,None,Black Leather Briefcase
16039,White,Short Afro Fade,Light Brown,None,Light Gray Cardigan with Light Gray Oxford Shirt,Light-Wash Denim,Brown Leather Shoes with Laces,None,None,None,None,Brown Leather Briefcase
16040,White,Short Coil,Light Grey,None,Blue Longsleeve,Khaki Slacks,Black Suede Chelseas with Brown Sole,Two Rings,None,Silver Aviators,None,Blue Lunchbox
16041,White,Straight Sideswept Fringe,Black,None,Navy Oxford with Pocket,Navy Slacks,White Leather Sneaker with Grey Sole,None,None,None,None,None
16042,White,Updo Bun,Dark Brown,Thin,Blue Longsleeve,Gray Slacks,Tan Suede Workboot with Tan Sole,None,None,None,Stud Earring,Brown Leather Briefcase
16043,White,Buzz Cut,Light Brown,Stubble,Light Gray Cardigan with Light Gray Oxford Shirt,Charcoal Slacks,Black Suede Chelseas with Brown Sole,None,Tan Workers Cap,None,None,Lunchbox
16044,White,None,Dark Brown,Stubble,Navy Oxford with Buttons,Gray Slacks,Brown Leather Shoes with Laces,Two Rings,Tan Workers Cap,None,None,None
16045,White,Straight Sideswept Fringe,Auburn,None,Gray Blazer with Black Shirt and Gray Tie,Khaki,Tan Suede Workboot with Tan Sole,Two Rings,None,None,None,Brown Leather Briefcase
16046,White,Low Ponytail,Blonde,Goatee,Navy Blazer with Striped Shirt and No Tie,Navy Slacks,Black Suede Chelseas with Brown Sole,None,None,None,None,None
16047,White,Short Afro Fade,Black,None,Gray Blazer with Black Shirt and No Tie,Charcoal Slacks,Black Suede Chelseas with Brown Sole,None,None,Black Books,None,None
16048,White,Short Messy,Black,None,Denim Jumpsuit,None,Tan Suede Workboot with Tan Sole,None,None,None,None,Brown Leather Briefcase
16049,White,Buzz Cut,Auburn,None,Blue Longsleeve,Khaki Slacks,Redbrown Leather Workboot with Brown Sole,Two Rings,None,None,None,Brown Leather Briefcase
16050,White,Short Coil,Blonde,None,Navy Oxford with Buttons,Navy Slacks,Black Suede Chelseas with Brown Sole,Two Rings,None,Black Books,None,Brown Leather Briefcase
16051,White,Long Afro,Black,None,Dark Gray Longsleeve,Navy Slacks,Tan Suede Workboot with Tan Sole,None,None,None,None,Brown Leather Briefcase
16052,White,Short Coil,Black,None,Navy Oxford with Pocket,Charcoal Slacks,Black Suede Chelseas with Brown Sole,Two Rings,None,None,None,Brown Leather Briefcase
16053,White,None,Light Brown,Beard,Navy Blazer with Striped Shirt and No Tie,Navy Slacks,Brown Leather Shoes with Laces,Two Rings,None,None,None,Brown Leather Briefcase
16054,White,None,Black,None,Navy Blazer with Striped Shirt and No Tie,Dark-Wash Denim,Tan Suede Workboot with Tan Sole,None,None,Rosegold Aviators,Stud Earring,Lunchbox
16055,White,Short Updo,Blonde,None,Olive Oxford with Buttons,Dark-Wash Denim,Brown Leather Shoes with Laces,None,None,None,None,Black Leather Briefcase
16056,White,Short Afro Fade,Light Grey,None,Gray Oxford with Tie and Pocket,Dark-Wash Denim,White Leather Sneaker with Grey Sole,None,None,Silver Aviators,Stud Earring,Brown Leather Briefcase
16057,White,Medium Curly Bob,Auburn,None,Gray Oxford with Pocket,Navy Slacks,Brown Leather Shoes with Laces,None,None,None,None,Brown Leather Briefcase
16058,White,Low Ponytail,Light Grey,None,Dark Gray Longsleeve,Charcoal Slacks,Black Leather Shoes with Laces,None,None,Black Books,None,Brown Leather Briefcase
16059,White,Short Coil,Light Brown,None,Navy Blazer with Striped Shirt and Navy Tie,Charcoal Slacks,Brown Leather Shoes with Laces,None,None,Black Books,None,Black Smartphone
16060,White,Short Afro Fade,Light Brown,Thin,Tan Blazer with Off-White Shirt and No Tie,Dark-Wash Denim,Black Leather Shoes with Laces,Two Rings,None,Black Books,Stud Earring,None
16061,White,Long Afro,Dark Brown,None,Olive Oxford with Tie,Blue Denim,Black Suede Chelseas with Brown Sole,None,None,None,None,None
16062,White,Short Updo,Light Brown,None,Navy Blazer with Striped Shirt and No Tie,Dark-Wash Denim,White Canvas Sneaker with White Sole,Two Rings,None,None,None,Lunchbox
16063,White,Short Messy,Light Brown,Stubble,Navy Jumpsuit,None,Tan Suede Workboot with Tan Sole,None,None,None,None,Black Leather Briefcase
16064,White,Short Updo,Black,Stubble,Light Gray Cardigan with Beige Longsleeve Shirt,Charcoal Slacks,White Leather Sneaker with Grey Sole,None,None,None,None,Brown Leather Briefcase
16065,White,Long Afro,Black,None,Navy Blazer with Striped Shirt and No Tie,Khaki Slacks,Brown Leather Shoes with Laces,None,None,None,None,Black Leather Briefcase
16066,White,Medium Curly Bob,Light Brown,None,Tan Blazer with Off-White Shirt and No Tie,Khaki Slacks,Redbrown Leather Workboot with Brown Sole,None,None,None,None,Black Smartphone
16067,White,Low Ponytail,Dark Brown,None,Light Gray Longsleeve,Gray Slacks,White Leather Sneaker with Grey Sole,None,None,None,Stud Earring,None
16068,White,None,Blonde,None,Navy Jumpsuit,None,Redbrown Leather Workboot with Brown Sole,None,Purple Workers Cap,None,None,Lunchbox
16069,White,None,Auburn,None,Denim Jumpsuit,None,Redbrown Leather Workboot with Brown Sole,None,Tan Workers Cap,None,None,Black Smartphone
16070,White,Updo Bun,Light Brown,None,Light Gray Longsleeve,Navy Slacks,Brown Leather Shoes with Laces,None,None,None,None,None
16071,White,Low Ponytail,Dark Brown,Stubble,Navy Oxford with Pocket,Charcoal Slacks,White Leather Sneaker with Grey Sole,None,None,None,None,Brown Leather Briefcase
16072,White,Long Messy,Blonde,Thin,Dark Gray Longsleeve,Charcoal Slacks,Black Leather Shoes with Laces,None,None,None,None,Black Smartphone
16073,White,Short Pixie,Light Grey,None,Tan Blazer with Off-White Shirt and No Tie,Light-Wash Denim,White Leather Sneaker with Grey Sole,None,None,None,None,None
16074,White,None,Dark Brown,None,Navy Blazer with Striped Shirt and No Tie,Navy Slacks,Brown Leather Shoes with Laces,None,None,Silver Aviators,None,Black Smartphone
16075,White,Low Ponytail,Light Grey,None,Olive Oxford with Tie and Pocket,Dark-Wash Denim,Black Leather Shoes with Laces,None,None,None,None,None
16076,White,Straight Sideswept Fringe,Dark Brown,None,Light Gray Cardigan with Tan Longsleeve Shirt,Navy Slacks,Brown Leather Shoes with Laces,None,None,None,None,Black Smartphone
16077,White,Buzz Cut,Black,Goatee,Navy Oxford with Tie,Navy Slacks,Brown Leather Shoes with Laces,None,Tan Workers Cap,None,None,Black Smartphone
16078,White,Short Messy,Black,Beard,Khaki Jumpsuit,None,Tan Suede Workboot with Tan Sole,None,None,None,None,Black Leather Briefcase
16079,White,Low Ponytail,Black,None,Red Longsleeve,Charcoal Slacks,Brown Leather Shoes with Laces,Two Rings,None,Silver Aviators,None,Brown Leather Briefcase
16080,White,Short Messy,Blonde,None,Navy Blazer with Striped Shirt and No Tie,Charcoal Slacks,Black Leather Shoes with Laces,Ring One Blue,None,Silver Aviators,None,None
16081,White,Short Afro Fade,Blonde,Stubble,Charcoal Blazer with Light Blue Shirt and No Tie,Gray Slacks,Brown Leather Shoes with Laces,None,None,None,None,Brown Leather Briefcase
16082,White,Buzz Cut,Black,Stubble,Charcoal Blazer with Light Blue Shirt and No Tie,Khaki Slacks,White Leather Sneaker with Grey Sole,None,None,Black Books,None,Brown Leather Briefcase
16083,White,Short Messy,Light Brown,None,Navy Jumpsuit,None,White Leather Sneaker with Grey Sole,None,None,Silver Aviators,None,Brown Leather Briefcase
16084,White,Short Updo,Light Grey,Thin,Navy Oxford with Pocket,Khaki,Black Leather Shoes with Laces,None,None,None,None,None
16085,White,Short Pixie,Blonde,None,Brown Cardigan with Light Gray Oxford Shirt,Blue Denim,White Canvas Sneaker with White Sole,None,None,None,None,Brown Leather Briefcase
16086,White,Short Afro Fade,Black,None,Navy Oxford with Buttons,Dark-Wash Denim,White Leather Sneaker with Grey Sole,None,None,Black Books,None,Black Smartphone
16087,White,Short Messy,Black,None,Charcoal Blazer with Light Blue Shirt and No Tie,Light-Wash Denim,Brown Leather Shoes with Laces,None,None,None,None,Brown Leather Briefcase
16088,White,Short Updo,Light Brown,None,Red Longsleeve,Navy Slacks,White Canvas Sneaker with White Sole,None,None,Rosegold Aviators,Stud Earring,Black Smartphone
16089,White,Low Ponytail,Light Brown,None,Navy Blazer with Striped Shirt and Navy Tie,Navy Slacks,Brown Leather Shoes with Laces,None,None,Silver Aviators,None,Black Leather Briefcase
16090,White,Short Afro Fade,Black,None,Navy Oxford with Buttons,Khaki Slacks,Brown Leather Shoes with Laces,None,None,Silver Aviators,None,Lunchbox
16091,White,Short Afro Fade,Light Brown,Thin,Khaki Oxford with Buttons,Khaki Slacks,White Canvas Sneaker with White Sole,Two Rings,None,Black Books,None,Black Smartphone
16092,White,Short Afro Fade,Blonde,None,Light Gray Longsleeve,Navy Slacks,White Canvas Sneaker with White Sole,None,None,None,Stud Earring,Brown Leather Briefcase
16093,White,Low Ponytail,Blonde,None,Olive Oxford with Buttons,Navy Slacks,Black Leather Shoes with Laces,None,None,None,Stud Earring,Black Smartphone
16094,White,Low Ponytail,Light Brown,Thin,Khaki Oxford with Buttons,Light-Wash Denim,Black Leather Shoes with Laces,None,None,Black Books,Stud Earring,Brown Leather Briefcase
16095,White,Short Coil,Light Grey,None,Navy Blazer with Striped Shirt and No Tie,Gray Slacks,White Canvas Sneaker with White Sole,None,None,Black Books,None,Black Smartphone
16096,White,Buzz Cut,Light Grey,None,Light Gray Longsleeve,Blue Denim,Redbrown Leather Workboot with Brown Sole,None,Tan Workers Cap,None,None,Black Leather Briefcase
16097,White,Short Messy,Dark Brown,None,Gray Oxford with Buttons,Khaki,Brown Leather Shoes with Laces,None,None,Rosegold Aviators,None,None
16098,White,Updo Bun,Auburn,None,Charcoal Blazer with Light Blue Shirt and No Tie,Navy Slacks,Black Leather Shoes with Laces,Two Rings,None,None,None,None
16099,White,Short Messy,Light Brown,None,Navy Oxford with Buttons,Khaki,White Leather Sneaker with Grey Sole,None,None,None,None,Black Smartphone
16100,White,Medium Curly Bob,Dark Brown,Stubble,Tan Blazer with Off-White Shirt and No Tie,Khaki,Brown Leather Shoes with Laces,Two Rings,None,None,None,Black Smartphone
16101,White,Straight Sideswept Fringe,Blonde,Stubble,Gray Blazer with Black Shirt and No Tie,Navy Slacks,White Leather Sneaker with Grey Sole,None,None,None,None,Lunchbox
16102,White,None,Light Brown,Thin,Dark Gray Cardigan with Tan Longsleeve Shirt,Gray Slacks,Brown Leather Shoes with Laces,None,Navy Blue Workers Cap,None,None,Black Smartphone
16103,White,Short Updo,Dark Brown,None,Charcoal Blazer with Light Blue Shirt and Black Tie,Navy Slacks,Black Suede Chelseas with Brown Sole,None,None,None,None,None
16104,White,Straight Sideswept Fringe,Blonde,None,Navy Blazer with Striped Shirt and Navy Tie,Navy Slacks,Brown Leather Shoes with Laces,None,None,Black Books,None,Black Leather Briefcase
16105,White,Straight Sideswept Fringe,Light Grey,Mustache,Light Gray Longsleeve,Khaki,Tan Suede Workboot with Tan Sole,Two Rings,None,Silver Aviators,None,None
16106,White,Long Messy,Blonde,None,Khaki Oxford with Buttons,Charcoal Slacks,Black Suede Chelseas with Brown Sole,None,None,None,None,None
16107,White,Short Updo,Black,None,Navy Oxford with Tie,Navy Slacks,White Leather Sneaker with Grey Sole,None,None,None,None,Black Leather Briefcase
16108,White,Short Updo,Light Brown,None,Navy Oxford with Tie and Pocket,Dark-Wash Denim,Brown Leather Shoes with Laces,None,None,Rosegold Aviators,None,None
16109,White,Buzz Cut,Black,None,Light Gray Longsleeve,Navy Slacks,Black Suede Chelseas with Brown Sole,None,None,None,None,None
16110,White,Low Ponytail,Dark Brown,None,Navy Oxford with Buttons,Charcoal Slacks,White Canvas Sneaker with White Sole,None,None,Rosegold Aviators,None,Blue Lunchbox
16111,White,Medium Curly Bob,Black,None,Tan Blazer with Off-White Shirt and Tan Tie,Charcoal Slacks,Black Suede Chelseas with Brown Sole,None,None,None,None,None
16112,White,Long Messy,Light Brown,None,Olive Cardigan with Light Gray Oxford Shirt,Charcoal Slacks,White Leather Sneaker with Grey Sole,None,None,None,None,Brown Leather Briefcase
16113,White,Long Messy,Light Brown,None,Brown Cardigan with Tan Oxford Shirt,Navy Slacks,White Leather Sneaker with Grey Sole,None,None,None,None,Brown Leather Briefcase
16114,White,Short Afro Fade,Blonde,None,Blue Longsleeve,Dark-Wash Denim,Brown Leather Shoes with Laces,None,None,Black Books,None,Black Leather Briefcase
16115,White,Long Messy,Black,None,Gray Oxford with Buttons,Charcoal Slacks,Brown Leather Shoes with Laces,Two Rings,None,None,None,Lunchbox
16116,White,Straight Sideswept Fringe,Light Brown,Goatee,Khaki Oxford with Buttons,Light-Wash Denim,Tan Suede Workboot with Tan Sole,None,None,Black Books,None,None
16117,White,Short Pixie,Black,None,Brown Cardigan with Tan Oxford Shirt,Dark-Wash Denim,Tan Suede Workboot with Tan Sole,None,None,Black Books,None,None
16118,White,Short Updo,Light Brown,None,Navy Oxford with Tie,Charcoal Slacks,Tan Suede Workboot with Tan Sole,None,None,None,None,Lunchbox
16119,White,Short Updo,Blonde,None,Navy Oxford with Pocket,Charcoal Slacks,White Leather Sneaker with Grey Sole,None,None,Black Books,None,Brown Leather Briefcase
16120,White,Medium Curly Bob,Dark Brown,None,Navy Oxford with Buttons,Dark-Wash Denim,White Leather Sneaker with Grey Sole,None,None,Black Books,None,Brown Leather Briefcase
16121,White,Short Afro Fade,Blonde,None,Navy Oxford with Tie,Blue Denim,White Canvas Sneaker with White Sole,None,None,None,Stud Earring,None
16122,White,Buzz Cut,Black,None,Olve Cardigan with Tan Longsleeve Shirt,Navy Slacks,Black Suede Chelseas with Brown Sole,None,Tan Workers Cap,None,None,None
16123,White,Short Afro Fade,Black,None,Light Gray Longsleeve,Gray Slacks,Black Leather Shoes with Laces,None,None,Black Books,None,Black Smartphone
16124,White,Short Afro Fade,Light Brown,None,Tan Blazer with Off-White Shirt and No Tie,Khaki Slacks,Redbrown Leather Workboot with Brown Sole,None,None,None,None,Black Leather Briefcase
16125,White,Low Ponytail,Dark Brown,None,Light Gray Longsleeve,Light-Wash Denim,Black Suede Chelseas with Brown Sole,None,None,None,None,Lunchbox
16126,White,Buzz Cut,Blonde,None,Navy Oxford with Pocket,Khaki Slacks,Black Suede Chelseas with Brown Sole,None,None,None,None,Brown Leather Briefcase
16127,White,Short Updo,Light Brown,None,Gray Oxford with Pocket,Charcoal Slacks,Tan Suede Workboot with Tan Sole,None,None,None,None,Brown Leather Briefcase
16128,White,Short Messy,Black,None,Gray Blazer with Black Shirt and Gray Tie,Blue Denim,White Canvas Sneaker with White Sole,Two Rings,None,None,None,Lunchbox
16129,White,Low Ponytail,Blonde,None,Brown Cardigan with Light Gray Longsleeve Shirt,Khaki,Black Leather Shoes with Laces,None,None,None,None,Lunchbox
16130,White,Straight Sideswept Fringe,Black,Stubble,Navy Oxford with Tie and Pocket,Khaki Slacks,Brown Leather Shoes with Laces,None,None,Silver Aviators,None,Lunchbox
16131,White,Short Pixie,Auburn,None,Charcoal Blazer with Light Blue Shirt and No Tie,Blue Denim,Redbrown Leather Workboot with Brown Sole,None,None,Black Books,Stud Earring,Lunchbox
16132,White,Buzz Cut,Light Grey,None,Gray Jumpsuit,None,Redbrown Leather Workboot with Brown Sole,None,Purple Workers Cap,None,None,Black Leather Briefcase
16133,White,Short Pixie,Blonde,Stubble,Gray Oxford with Tie,Khaki Slacks,Brown Leather Shoes with Laces,None,None,None,None,Lunchbox
16134,White,None,Light Brown,None,Navy Blazer with Striped Shirt and Navy Tie,Dark-Wash Denim,Brown Leather Shoes with Laces,None,Tan Workers Cap,None,None,Black Smartphone
16135,White,Short Messy,Black,None,Navy Oxford with Tie,Charcoal Slacks,Redbrown Leather Workboot with Brown Sole,Two Rings,None,None,None,None
16136,White,Short Pixie,Light Grey,None,Light Gray Longsleeve,Navy Slacks,White Leather Sneaker with Grey Sole,None,None,None,None,None
16137,White,Short Pixie,Black,None,Gray Blazer with Black Shirt and No Tie,Charcoal Slacks,Black Leather Shoes with Laces,None,None,Black Books,None,Light Blue Smartphone
16138,White,Low Ponytail,Dark Brown,None,Charcoal Blazer with Light Blue Shirt and No Tie,Light-Wash Denim,Tan Suede Workboot with Tan Sole,None,None,Silver Aviators,None,Black Leather Briefcase
16139,White,Medium Curly Bob,Light Grey,None,Light Gray Longsleeve,Gray Slacks,White Leather Sneaker with Grey Sole,None,None,Black Books,None,None
16140,White,Straight Sideswept Fringe,Light Brown,Stubble,Gray Oxford with Tie,Khaki,Black Suede Chelseas with Brown Sole,None,None,None,None,None
16141,White,Long Messy,Black,None,Blue Longsleeve,Dark-Wash Denim,White Leather Sneaker with Grey Sole,None,None,Black Books,None,None
16142,White,Low Ponytail,Black,None,Navy Oxford with Pocket,Navy Slacks,Black Leather Shoes with Laces,None,None,None,None,Blue Lunchbox
16143,White,Long Straight Bangs,Black,Beard,Olive Cardigan with Beige Oxford Shirt,Charcoal Slacks,Tan Suede Workboot with Tan Sole,Two Rings,None,None,None,Black Smartphone
16144,White,Short Coil,Black,None,Navy Blazer with Striped Shirt and Navy Tie,Navy Slacks,Brown Leather Shoes with Laces,None,None,Rosegold Aviators,None,Black Smartphone
16145,White,Short Coil,Dark Brown,Stubble,Dark Gray Longsleeve,Dark-Wash Denim,White Leather Sneaker with Grey Sole,None,None,None,None,Brown Leather Briefcase
16146,White,Short Updo,Auburn,None,Gray Oxford with Buttons,Gray Slacks,Black Leather Shoes with Laces,None,None,Black Books,None,Black Smartphone
16147,White,Short Coil,Light Brown,None,Gray Blazer with Black Shirt and No Tie,Charcoal Slacks,Black Leather Shoes with Laces,None,None,None,None,None
16148,White,Short Pixie,Auburn,Stubble,Gray Blazer with Black Shirt and No Tie,Dark-Wash Denim,Redbrown Leather Workboot with Brown Sole,None,None,None,Stud Earring,None
16149,White,Buzz Cut,Light Grey,None,Navy Blazer with Striped Shirt and Navy Tie,Dark-Wash Denim,Brown Leather Shoes with Laces,None,Tan Workers Cap,Black Books,None,None
16150,White,Buzz Cut,Light Grey,Stubble,Khaki Oxford with Pocket,Charcoal Slacks,White Leather Sneaker with Grey Sole,None,None,Black Books,None,Black Smartphone
16151,White,Short Coil,Light Brown,Thin,Olive Oxford with Tie,Light-Wash Denim,Redbrown Leather Workboot with Brown Sole,None,None,None,None,None
16152,White,Short Coil,Blonde,Thin,Navy Oxford with Buttons,Dark-Wash Denim,Redbrown Leather Workboot with Brown Sole,None,None,None,None,None
16153,White,Updo Bun,Dark Brown,None,Charcoal Blazer with Light Blue Shirt and No Tie,Light-Wash Denim,Tan Suede Workboot with Tan Sole,None,None,Black Books,None,None
16154,White,Short Coil,Dark Brown,Thin,Dark Gray Longsleeve,Navy Slacks,Brown Leather Shoes with Laces,None,None,Black Books,None,Lunchbox
16155,White,Buzz Cut,Blonde,None,Khaki Jumpsuit,None,Tan Suede Workboot with Tan Sole,None,Tan Workers Cap,None,None,Brown Leather Briefcase
16156,White,Short Pixie,Light Brown,None,Tan Blazer with Off-White Shirt and Tan Tie,Navy Slacks,Black Suede Chelseas with Brown Sole,None,None,Rosegold Aviators,None,Lunchbox
16157,White,Short Messy,Dark Brown,Goatee,Charcoal Blazer with Light Blue Shirt and Black Tie,Gray Slacks,White Leather Sneaker with Grey Sole,None,None,Black Books,None,Brown Leather Briefcase
16158,White,Low Ponytail,Blonde,None,Navy Oxford with Pocket,Blue Denim,Tan Suede Workboot with Tan Sole,None,None,Black Books,None,Lunchbox
16159,White,Short Coil,Black,None,Blue Longsleeve,Navy Slacks,Black Suede Chelseas with Brown Sole,None,None,None,None,Black Smartphone
16160,White,Short Messy,Black,None,Gray Oxford with Buttons,Dark-Wash Denim,Black Suede Chelseas with Brown Sole,None,None,None,None,Lunchbox
16161,White,Short Coil,Light Brown,Thin,Dark Gray Cardigan with Beige Oxford Shirt,Khaki Slacks,Black Leather Shoes with Laces,None,None,None,Stud Earring,Black Leather Briefcase
16162,White,Low Ponytail,Blonde,None,Tan Blazer with Off-White Shirt and No Tie,Charcoal Slacks,Black Leather Shoes with Laces,None,None,Black Books,None,None
16163,White,Straight Sideswept Fringe,Blonde,None,Light Gray Longsleeve,Gray Slacks,Tan Suede Workboot with Tan Sole,None,None,None,None,Lunchbox
16164,White,Short Pixie,Black,Stubble,Navy Oxford with Buttons,Dark-Wash Denim,White Canvas Sneaker with White Sole,None,None,None,None,None
16165,White,Short Pixie,Dark Brown,None,Olive Oxford with Tie,Navy Slacks,Tan Suede Workboot with Tan Sole,None,None,None,None,Brown Leather Briefcase
16166,White,Short Updo,Black,None,Navy Oxford with Buttons,Gray Slacks,Brown Leather Shoes with Laces,None,None,None,None,Brown Leather Briefcase
16167,White,Long Messy,Light Brown,None,Navy Oxford with Pocket,Khaki Slacks,Redbrown Leather Workboot with Brown Sole,None,None,None,None,Lunchbox
16168,White,Straight Sideswept Fringe,Black,None,Blue Longsleeve,Navy Slacks,Black Suede Chelseas with Brown Sole,Two Rings,None,None,None,Black Leather Briefcase
